TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-08,5,NAP2202,0.02
2023-06-08,45,NPK0331,6.46
2023-06-08,9,OHA2201,0.72
2023-06-08,7,OTA2201,0.43
2023-06-08,35,PEN0331,46.67
2023-06-08,16,ROT0331,90.71
2023-06-08,12,SBK0661,1.12
2023-06-08,42,TKA0331,25.91
2023-06-08,13,TNG0111,1.51
2023-06-08,32,TWH0331,2.21
2023-06-08,25,WHU0331,4.88
2023-06-08,3,WTK0331,0.99
2023-06-08,22,WTK2201,21.68
2023-06-08,6,WVY0111,0.22
2023-06-08,43,BEN2202,16.13
2023-06-08,38,BRB0331,174.52
2023-06-08,19,BRY0661,40.84
2023-06-08,21,COL0661,62.52
2023-06-08,3,CST0331,1.26
2023-06-08,3,EDN0331,1.00
2023-06-08,35,FKN0331,38.37
2023-06-08,34,HAY2201,12.44
2023-06-08,18,HEN2201,31.54
2023-06-08,32,HWB0331,0.59
2023-06-08,31,HWB2201,0.19
2023-06-08,47,ISL2201,3.22
2023-06-08,26,KPO1101,10.17
2023-06-08,37,MDN1101,226.30
2023-06-08,39,MDN1101,149.67
2023-06-08,10,MDN2201,1.97
2023-06-08,42,MDN2201,47.45
2023-06-08,40,MNG0331,155.55
2023-06-08,17,MTO0331,135.23
2023-06-08,17,ORO1102,116.66
2023-06-08,38,PEN0331,170.42
2023-06-08,17,PPI2201,113.03
2023-06-08,48,PPI2201,4.57
2023-06-08,31,SFD2201,1.40
2023-06-08,31,STK0661,0.25
2023-06-08,36,TMK0331,962.61
2023-06-08,43,UHT0331,21.46
2023-06-08,12,WEL0331,1.76
2023-06-08,27,WKM2201,13.15
2023-06-08,29,WKM2201,6.70
2023-06-08,28,WKO0331,10.61
2023-06-08,11,WRD0331,4.37
2023-06-08,45,WTK0111,5.21
2023-06-08,2,ALB0331,2.58
2023-06-08,31,BEN2202,0.22
2023-06-08,9,CML0331,0.72
2023-06-08,25,HAM0331,4.62
2023-06-08,37,HAY2201,191.40
2023-06-08,46,HEP0331,6.16
2023-06-08,23,KAI0111,10.37
2023-06-08,27,KPA1101,12.85
2023-06-08,13,MLG0111,1.46
2023-06-08,10,MLG0331,1.75
2023-06-08,48,MLG0331,4.27
2023-06-08,33,MPE1101,9.14
2023-06-08,27,MTR0331,12.77
2023-06-08,40,OAM0331,124.76
2023-06-08,8,OHB2201,0.44
2023-06-08,35,OPK0331,42.06
2023-06-08,12,PAO1101,1.67
2023-06-08,38,PAO1101,171.57
2023-06-08,10,RDF0331,1.87
2023-06-08,35,ROS0221,47.31
2023-06-08,33,STK0661,6.34
2023-06-08,21,SWN0251,67.41
2023-06-08,48,TAK0331,4.96
2023-06-08,6,WDV0111,0.22
2023-06-08,5,WDV1101,0.02
2023-06-08,7,WEL0331,0.45
2023-06-08,22,WKO0331,27.26
2023-06-08,40,WVY0111,133.64
2023-06-08,13,WWD1102,1.45
2023-06-08,33,HAY0111,7.56
2023-06-08,24,HEN0331,5.37
2023-06-08,26,INV2201,11.93
2023-06-08,30,ISL2201,0.21
2023-06-08,21,KIK0111,64.54
2023-06-08,46,MDN1101,6.19
2023-06-08,32,MNG0331,2.28
2023-06-08,44,MST0331,17.50
2023-06-08,8,OTA2202,0.00
2023-06-08,9,PEN1101,0.82
2023-06-08,22,ROX1101,18.10
2023-06-08,17,TKU2201,110.04
2023-06-08,18,TMK0331,27.24
2023-06-08,5,TNG0111,0.02
2023-06-08,9,TUI1101,0.68
2023-06-08,24,TUI1101,4.32
2023-06-08,12,WPR0661,1.07
2023-06-08,34,WPR0661,12.41
2023-06-08,18,WRK0331,28.84
2023-06-08,2,WTK0331,1.00
2023-06-08,18,WWD1102,27.75
2023-06-08,4,BEN2201,0.62
2023-06-08,44,CPK0331,16.93
2023-06-08,47,EDG0331,3.85
2023-06-08,37,FKN0331,182.80
2023-06-08,31,HAY1101,1.33
2023-06-08,32,HIN0331,2.24
2023-06-08,38,HKK0661,146.80
2023-06-08,12,INV2201,0.98
2023-06-08,21,ISL0331,62.15
2023-06-08,7,KIK0111,0.40
2023-06-08,15,KIN0111,76.06
2023-06-08,7,KUM0661,0.41
2023-06-08,13,KWA0111,1.46
2023-06-08,35,OAM0331,40.14
2023-06-08,29,OKI2201,6.61
2023-06-08,28,OTI0111,3.19
2023-06-08,14,RDF0331,3.43
2023-06-08,39,ROX1101,108.32
2023-06-08,7,STK0661,0.41
2023-06-08,13,TGA0331,1.63
2023-06-08,37,THI2201,199.89
2023-06-08,44,TKR0331,16.86
2023-06-08,27,TMU0111,13.71
